text,label
supreme court issues notice petition related electoral bonds,real
supreme court not issues notice petition related electoral bonds,fake
finance ministry releases revised fiscal deficit estimate current year,real
finance ministry not releases revised fiscal deficit estimate current year,fake
viral post parliament approved lifetime tax exemption everyone,fake
viral post parliament not approved lifetime tax exemption everyone,real
supreme court issues notice petition related electoral bonds,real
supreme court not issues notice petition related electoral bonds,fake
ipl franchises announce retention list auction,real
ipl franchises not announce retention list auction,fake
ipl 2026 matches announced by bcci,real
ipl 2026 matches not announced by bcci,fake
modi is pm of india,real
modi not is pm of india,fake
fake ipl auction cancelled secret meeting,fake
fake ipl auction not cancelled secret meeting,real
viral post all board exams cancelled nationwide immediately,fake
viral post all board exams not cancelled nationwide immediately,real
indian women s cricket team begins preparation camp bengaluru,real
indian women s cricket team not begins preparation camp bengaluru,fake
indian women s cricket team begins preparation camp bengaluru,real
indian women s cricket team not begins preparation camp bengaluru,fake
social media post alleges currency notes replaced next week,fake
social media not post alleges currency notes replaced next week,real
social media upi services stop permanently next week,fake
social media not upi services stop permanently next week,real
parliamentary panel submits report digital governance reforms,real
parliamentary panel not submits report digital governance reforms,fake
rbi keeps repo rate unchanged monetary policy review,real
rbi keeps not repo rate unchanged monetary policy review,fake
gst council announces procedural simplification small businesses,real
gst council not announces procedural simplification small businesses,fake
viral post all board exams cancelled nationwide immediately,fake
viral post all board exams not cancelled nationwide immediately,real
rbi keeps repo rate unchanged monetary policy review,real
rbi keeps not repo rate unchanged monetary policy review,fake
ranji trophy knockout schedule confirmed bcci,real
ranji trophy not knockout schedule confirmed bcci,fake
government launches new portal track public grievance resolution,real
government launches not new portal track public grievance resolution,fake
social media match result leaked toss,fake
social media not match result leaked toss,real
imd issues heavy rainfall alert multiple indian states,real
imd not issues heavy rainfall alert multiple indian states,fake
viral message government approved free cash transfer everyone,fake
viral message government not approved free cash transfer everyone,real
bcci releases domestic cricket calendar season,real
bcci not releases domestic cricket calendar season,fake
india s inflation rate eases according official data,real
india s not inflation rate eases according official data,fake
rumour bcci banned senior player life announcement,fake
rumour bcci not banned senior player life announcement,real
rumour claims new law ban all social media accounts india,fake
rumour claims not new law ban all social media accounts india,real
unverified new tax mobile phones starts tomorrow,fake
unverified new tax mobile phones not starts tomorrow,real
unverified post claims india withdrew icc events permanently,fake
unverified post not claims india withdrew icc events permanently,real
bcci announces central contracts list indian men s cricket team,real
bcci not announces central contracts list indian men s cricket team,fake
isro schedules next satellite mission launch window,real
isro schedules not next satellite mission launch window,fake
india names squad upcoming t20 series home,real
india names not squad upcoming t20 series home,fake
fake alert claims nationwide lockdown announced notice,fake
fake alert claims nationwide lockdown not announced notice,real
social media post alleges currency notes replaced next week,fake
social media not post alleges currency notes replaced next week,real
viral message claims bcci dissolved national team selection panel overnight,fake
viral message not claims bcci dissolved national team selection panel overnight,real
election commission updates polling guidelines state elections,real
election commission not updates polling guidelines state elections,fake
india names squad upcoming t20 series home,real
india names not squad upcoming t20 series home,fake
lok sabha passes data protection amendment bill debate,real
lok sabha not passes data protection amendment bill debate,fake
indian women s cricket team begins preparation camp bengaluru,real
indian women s cricket team not begins preparation camp bengaluru,fake
rumour claims rbi freeze bank accounts verification tomorrow,fake
rumour claims not rbi freeze bank accounts verification tomorrow,real
unverified message petrol prices double overnight,fake
unverified message not petrol prices double overnight,real
india s inflation rate eases according official data,real
india s not inflation rate eases according official data,fake
rumour bcci banned senior player life announcement,fake
rumour bcci not banned senior player life announcement,real
rumour railways stop all trains month,fake
rumour railways not stop all trains month,real
finance ministry releases revised fiscal deficit estimate current year,real
finance ministry not releases revised fiscal deficit estimate current year,fake
team india reports injury odi series,real
team india not reports injury odi series,fake
upi transactions hit new monthly high digital payments grow,real
upi transactions not hit new monthly high digital payments grow,fake
rumour railways stop all trains month,fake
rumour railways not stop all trains month,real
health ministry issues advisory seasonal flu preparedness,real
health ministry not issues advisory seasonal flu preparedness,fake
fake ipl auction cancelled secret meeting,fake
fake ipl auction not cancelled secret meeting,real
lok sabha passes data protection amendment bill debate,real
lok sabha not passes data protection amendment bill debate,fake
lok sabha passes data protection amendment bill debate,real
lok sabha not passes data protection amendment bill debate,fake
ugc releases updated academic credit framework universities,real
ugc not releases updated academic credit framework universities,fake
government secretly plans cancel all state elections year viral,fake
government secretly plans not cancel all state elections year viral,real
rumour claims new law ban all social media accounts india,fake
rumour claims not new law ban all social media accounts india,real
health ministry issues advisory seasonal flu preparedness,real
health ministry not issues advisory seasonal flu preparedness,fake
lok sabha passes data protection amendment bill debate,real
